course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,students_enrolled_numeric,combined_features,difficulty_encoded,certificate_encoded,popularity_score,cluster
inspired leadership,case western reserve university,specialization,4.7,intermediate,97k,97000.0,inspired leadership case western reserve university specialization intermediate,2,2,0.5470317705969365,2
inspiring and motivating individuals,university of michigan,course,4.8,mixed,85k,85000.0,inspiring and motivating individuals university of michigan course mixed,3,0,0.549321511583734,7
instructional design foundations and applications,university of illinois at urbana champaign,course,4.2,mixed,12k,12000.0,instructional design foundations and applications university of illinois at urbana champaign course mixed,3,0,0.1846225750517156,1
instructional methods in health professions education,university of michigan,course,4.6,intermediate,9.7k,9700.0,instructional methods in health professions education university of michigan course intermediate,2,0,0.2340423816570562,2
integrative health and medicine,university of minnesota,specialization,4.8,beginner,14k,14000.0,integrative health and medicine university of minnesota specialization beginner,1,2,0.3191527627181956,3
intellectual property law,university of pennsylvania,specialization,4.8,intermediate,8.7k,8700.0,intellectual property law university of pennsylvania specialization intermediate,2,2,0.258444653641066,7
interaction design,university of california san diego,specialization,4.5,intermediate,150k,150000.0,interaction design university of california san diego specialization intermediate,2,2,0.5643780954496207,9
intercultural management,escp business school,course,4.6,beginner,6.5k,6500.0,intercultural management escp business school course beginner,1,0,0.1829591676726645,6
international business essentials,university of london,specialization,4.5,intermediate,22k,22000.0,international business essentials university of london specialization intermediate,2,2,0.3194027914518971,6
international cyber conflicts,the state university of new york,course,4.4,mixed,25k,25000.0,international cyber conflicts the state university of new york course mixed,3,0,0.316573169272798,0
international humanitarian law in theory and practice,kalshoven gieskes forum,course,4.8,beginner,22k,22000.0,international humanitarian law in theory and practice kalshoven gieskes forum course beginner,1,0,0.3768322170920486,3
international law in action a guide to the international courts and tribunals in the hague,universiteit leiden,course,4.8,mixed,36k,36000.0,international law in action a guide to the international courts and tribunals in the hague universiteit leiden course mixed,3,0,0.4396802760942755,7
international law in action the arbitration of international disputes,universiteit leiden,course,4.8,mixed,19k,19000.0,international law in action the arbitration of international disputes universiteit leiden course mixed,3,0,0.3581234589431772,7
international leadership and organizational behavior,universit bocconi,course,4.8,mixed,41k,41000.0,international leadership and organizational behavior universit bocconi course mixed,3,0,0.4562773470252721,7
international marketing cross industry growth,yonsei university,specialization,4.6,beginner,26k,26000.0,international marketing cross industry growth yonsei university specialization beginner,1,2,0.3598646412108843,3
international organizations management,university of geneva,course,4.8,beginner,20k,20000.0,international organizations management university of geneva course beginner,1,0,0.3646692218621901,3
international security management,erasmus university rotterdam,course,4.5,beginner,2.2k,2200.0,international security management erasmus university rotterdam course beginner,1,0,0.0255968994653472,3
international women s health and human rights,stanford university,course,4.9,beginner,35k,35000.0,international women s health and human rights stanford university course beginner,1,0,0.4552283252935449,3
international migrations a global issue,sciences po,course,4.6,beginner,11k,11000.0,international migrations a global issue sciences po course beginner,1,0,0.2500916350804343,3
internet connection how to get online,cisco,course,4.7,beginner,36k,36000.0,internet connection how to get online cisco course beginner,1,0,0.420537134214225,3
internet giants the law and economics of media platforms,the university of chicago,course,4.8,mixed,38k,38000.0,internet giants the law and economics of media platforms the university of chicago course mixed,3,0,0.4465801994379048,7
interviewing and resume writing in english,university of maryland college park,specialization,4.6,intermediate,66k,66000.0,interviewing and resume writing in english university of maryland college park specialization intermediate,2,2,0.4787480055686819,2
introducci n a data science programaci n estad stica con r,universidad nacional aut noma de m xico,course,4.7,beginner,140k,140000.0,introducci n a data science programaci n estad stica con r universidad nacional aut noma de m xico course beginner,1,0,0.5938595044639361,3
introducci n a la programaci n en python i aprendiendo a programar con python,pontificia universidad cat lica de chile,course,4.4,beginner,100k,100000.0,introducci n a la programaci n en python i aprendiendo a programar con python pontificia universidad cat lica de chile course beginner,1,0,0.4934895383563478,3
introduction aux droits de l homme,university of geneva,course,4.8,mixed,46k,46000.0,introduction aux droits de l homme university of geneva course mixed,3,0,0.4709622654028842,7
introduction to ableton live,berklee college of music,course,4.8,mixed,60k,60000.0,introduction to ableton live berklee college of music course mixed,3,0,0.5048709073933941,7
introduction to artificial intelligence ai,ibm,course,4.7,beginner,44k,44000.0,introduction to artificial intelligence ai ibm course beginner,1,0,0.4461462736429382,5
introduction to big data,university of california san diego,course,4.6,mixed,160k,160000.0,introduction to big data university of california san diego course mixed,3,0,0.5917576512670553,9
introduction to blockchain technologies,insead,course,4.7,beginner,16k,16000.0,introduction to blockchain technologies insead course beginner,1,0,0.3170498840713929,3
introduction to breast cancer,yale university,course,4.9,mixed,27k,27000.0,introduction to breast cancer yale university course mixed,3,0,0.4221103414161806,7
introduction to business analytics communicating with data,university of illinois at urbana champaign,course,4.7,intermediate,14k,14000.0,introduction to business analytics communicating with data university of illinois at urbana champaign course intermediate,2,0,0.3000096208381451,1
introduction to css3,university of michigan,course,4.8,mixed,84k,84000.0,introduction to css3 university of michigan course mixed,3,0,0.547811204778871,7
introduction to calculus,the university of sydney,course,4.8,intermediate,53k,53000.0,introduction to calculus the university of sydney course intermediate,2,0,0.4890394719544435,2
introduction to chemistry reactions and ratios,duke university,course,4.8,beginner,46k,46000.0,introduction to chemistry reactions and ratios duke university course beginner,1,0,0.4709622654028842,3
introduction to classical music,yale university,course,4.9,mixed,150k,150000.0,introduction to classical music yale university course mixed,3,0,0.6409506629698227,7
introduction to cloud computing,ibm,course,4.6,beginner,2.6k,2600.0,introduction to cloud computing ibm course beginner,1,0,0.0660507208423772,5
introduction to computer programming,goldsmiths university of london,course,4.3,beginner,20k,20000.0,introduction to computer programming goldsmiths university of london course beginner,1,0,0.2689535124619375,3
introduction to computer science and programming,goldsmiths university of london,specialization,4.3,beginner,32k,32000.0,introduction to computer science and programming goldsmiths university of london specialization beginner,1,2,0.3289334273916746,3
introduction to corporate finance,university of pennsylvania,course,4.6,mixed,130k,130000.0,introduction to corporate finance university of pennsylvania course mixed,3,0,0.5652587032022209,7
introduction to cyber attacks,new york university,course,4.7,beginner,27k,27000.0,introduction to cyber attacks new york university course beginner,1,0,0.3838240576560796,3
introduction to cyber security,new york university,specialization,4.7,beginner,32k,32000.0,introduction to cyber security new york university specialization beginner,1,2,0.4055059949118766,3
introduction to cybersecurity tools cyber attacks,ibm,course,4.5,beginner,30k,30000.0,introduction to cybersecurity tools cyber attacks ibm course beginner,1,0,0.3589835099077265,5
introduction to data analysis using excel,rice university,course,4.7,mixed,99k,99000.0,introduction to data analysis using excel rice university course mixed,3,0,0.5496363435194698,7
introduction to data science,ibm,specialization,4.6,beginner,310k,310000.0,introduction to data science ibm specialization beginner,1,2,0.6761655652175964,5
introduction to data science in python,university of michigan,course,4.5,intermediate,390k,390000.0,introduction to data science in python university of michigan course intermediate,2,0,0.6863208462800743,5
introduction to dental medicine,university of pennsylvania,course,4.8,beginner,25k,25000.0,introduction to dental medicine university of pennsylvania course beginner,1,0,0.3931457367929996,7
introduction to discrete mathematics for computer science,national research university higher school of economics,specialization,4.4,beginner,75k,75000.0,introduction to discrete mathematics for computer science national research university higher school of economics specialization beginner,1,2,0.456775705559262,6
introduction to electronics,georgia institute of technology,course,4.7,mixed,110k,110000.0,introduction to electronics georgia institute of technology course mixed,3,0,0.5630824232759473,7
introduction to embedded systems software and development environments,university of colorado boulder,course,4.5,intermediate,41k,41000.0,introduction to embedded systems software and development environments university of colorado boulder course intermediate,2,0,0.398847921385121,2
introduction to engineering mechanics,georgia institute of technology,course,4.7,mixed,150k,150000.0,introduction to engineering mechanics georgia institute of technology course mixed,3,0,0.6026643792097222,7
introduction to environmental law and policy,the university of north carolina at chapel hill,course,4.8,mixed,34k,34000.0,introduction to environmental law and policy the university of north carolina at chapel hill course mixed,3,0,0.4323858737807584,7
introduction to financial accounting,university of pennsylvania,course,4.7,mixed,200k,200000.0,introduction to financial accounting university of pennsylvania course mixed,3,0,0.6393784247046623,7
introduction to forensic science,nanyang technological university singapore,course,4.9,mixed,47k,47000.0,introduction to forensic science nanyang technological university singapore course mixed,3,0,0.4928499905073988,7
introduction to game development,michigan state university,course,4.8,mixed,79k,79000.0,introduction to game development michigan state university course mixed,3,0,0.5399793379523228,0
introduction to genetics and evolution,duke university,course,4.8,mixed,74k,74000.0,introduction to genetics and evolution duke university course mixed,3,0,0.5316352375227402,7
introduction to genomic technologies,johns hopkins university,course,4.6,mixed,42k,42000.0,introduction to genomic technologies johns hopkins university course mixed,3,0,0.4210663414805085,4
introduction to html5,university of michigan,course,4.7,mixed,220k,220000.0,introduction to html5 university of michigan course mixed,3,0,0.6515419419928006,7
introduction to imagemaking,california institute of the arts,course,4.5,beginner,54k,54000.0,introduction to imagemaking california institute of the arts course beginner,1,0,0.433995509418883,9
introduction to intellectual property,university of pennsylvania,course,4.8,beginner,6k,6000.0,introduction to intellectual property university of pennsylvania course beginner,1,0,0.2110319612735218,7
introduction to international criminal law,case western reserve university,course,4.8,mixed,82k,82000.0,introduction to international criminal law case western reserve university course mixed,3,0,0.5447358895088499,7
introduction to marketing,university of pennsylvania,course,4.8,mixed,220k,220000.0,introduction to marketing university of pennsylvania course mixed,3,0,0.6706850838728506,7
introduction to mathematical thinking,stanford university,course,4.8,intermediate,270k,270000.0,introduction to mathematical thinking stanford university course intermediate,2,0,0.6968210330984168,2
introduction to operations management,university of pennsylvania,course,4.5,mixed,87k,87000.0,introduction to operations management university of pennsylvania course mixed,3,0,0.4948601141758173,7
introduction to personal branding,university of virginia,course,4.4,beginner,140k,140000.0,introduction to personal branding university of virginia course beginner,1,0,0.5364300788237846,3
introduction to philosophy,the university of edinburgh,course,4.6,mixed,370k,370000.0,introduction to philosophy the university of edinburgh course mixed,3,0,0.6987455627869794,7
introduction to portfolio construction and analysis with python,edhec business school,course,4.8,mixed,11k,11000.0,introduction to portfolio construction and analysis with python edhec business school course mixed,3,0,0.2883779188405353,6
introduction to probability and data,duke university,course,4.7,beginner,160k,160000.0,introduction to probability and data duke university course beginner,1,0,0.6109007931471058,3
introduction to programming in c,duke university,specialization,4.7,beginner,82k,82000.0,introduction to programming in c duke university specialization beginner,1,2,0.5255927476287994,3
introduction to programming with matlab,vanderbilt university,course,4.8,beginner,270k,270000.0,introduction to programming with matlab vanderbilt university course beginner,1,0,0.6968210330984168,3
introduction to psychology,yale university,course,4.9,beginner,270k,270000.0,introduction to psychology yale university course beginner,1,0,0.7159641749784678,3
introduction to scripting in python,rice university,specialization,4.7,beginner,49k,49000.0,introduction to scripting in python rice university specialization beginner,1,2,0.4598819048509019,3
introduction to self driving cars,university of toronto,course,4.8,advanced,39k,39000.0,introduction to self driving cars university of toronto course advanced,0,0,0.4498951294702826,3
introduction to spreadsheets and models,university of pennsylvania,course,4.2,mixed,76k,76000.0,introduction to spreadsheets and models university of pennsylvania course mixed,3,0,0.4201797677758785,7
introduction to statistics data analysis in public health,imperial college london,course,4.7,beginner,12k,12000.0,introduction to statistics data analysis in public health imperial college london course beginner,1,0,0.2803382844519682,3
introduction to sustainability,university of illinois at urbana champaign,course,4.8,mixed,69k,69000.0,introduction to sustainability university of illinois at urbana champaign course mixed,3,0,0.5227071812430046,1
introduction to systematic review and meta analysis,johns hopkins university,course,4.8,mixed,67k,67000.0,introduction to systematic review and meta analysis johns hopkins university course mixed,3,0,0.5189534086018535,4
introduction to systems engineering,unsw sydney the university of new south wales,course,4.7,mixed,33k,33000.0,introduction to systems engineering unsw sydney the university of new south wales course mixed,3,0,0.4094329822473752,7
introduction to tensorflow for artificial intelligence machine learning and deep learning,deeplearning ai,course,4.7,intermediate,150k,150000.0,introduction to tensorflow for artificial intelligence machine learning and deep learning deeplearning ai course intermediate,2,0,0.6026643792097222,2
introduction to thermodynamics transferring energy from here to there,university of michigan,course,4.8,beginner,4.1k,4100.0,introduction to thermodynamics transferring energy from here to there university of michigan course beginner,1,0,0.1624472701146753,3
introduction to trading machine learning gcp,new york institute of finance,course,4.0,intermediate,13k,13000.0,introduction to trading machine learning gcp new york institute of finance course intermediate,2,0,0.1565505993372273,2
introduction to typography,california institute of the arts,course,4.8,beginner,72k,72000.0,introduction to typography california institute of the arts course beginner,1,0,0.5281386024261714,9
introduction to user experience design,georgia institute of technology,course,4.5,beginner,87k,87000.0,introduction to user experience design georgia institute of technology course beginner,1,0,0.4948601141758173,3
introduction to user experience principles and processes,university of michigan,course,4.8,beginner,16k,16000.0,introduction to user experience principles and processes university of michigan course beginner,1,0,0.3361930259514429,3
introduction to web development,university of california davis,course,4.7,beginner,76k,76000.0,introduction to web development university of california davis course beginner,1,0,0.515895477176131,9
introduction to the biology of cancer,johns hopkins university,course,4.8,beginner,110k,110000.0,introduction to the biology of cancer johns hopkins university course beginner,1,0,0.5822255651559973,4
introductory human physiology,duke university,course,4.7,mixed,270k,270000.0,introductory human physiology duke university course mixed,3,0,0.6776778912183663,7
introdu o aos princ pios e pr ticas da gest o de projetos,universidade de s o paulo,specialization,4.9,beginner,4.5k,4500.0,introdu o aos princ pios e pr ticas da gest o de projetos universidade de s o paulo specialization beginner,1,2,0.1934679336324927,3
introdu o ci ncia da computa o com python parte 1,universidade de s o paulo,course,4.9,beginner,120k,120000.0,introdu o ci ncia da computa o com python parte 1 universidade de s o paulo course beginner,1,0,0.6124730845869624,3
investment management,university of geneva,specialization,4.7,beginner,99k,99000.0,investment management university of geneva specialization beginner,1,2,0.5496363435194698,3
investment management with python and machine learning,edhec business school,specialization,4.6,beginner,14k,14000.0,investment management with python and machine learning edhec business school specialization beginner,1,2,0.2808664789580946,6
investment and portfolio management,rice university,specialization,4.5,beginner,49k,49000.0,investment and portfolio management rice university specialization beginner,1,2,0.4215956210908014,3
japanese for beginners 1,saint petersburg state university,course,4.6,beginner,4.4k,4400.0,japanese for beginners 1 saint petersburg state university course beginner,1,0,0.1331711452775719,0
java programming and software engineering fundamentals,duke university,specialization,4.6,beginner,380k,380000.0,java programming and software engineering fundamentals duke university specialization beginner,1,2,0.7021489806273631,3
java programming solving problems with software,duke university,course,4.6,beginner,160k,160000.0,java programming solving problems with software duke university course beginner,1,0,0.5917576512670553,3
julia scientific programming,university of cape town,course,4.5,beginner,22k,22000.0,julia scientific programming university of cape town course beginner,1,0,0.3194027914518971,3
kotlin for java developers,jetbrains,course,4.7,intermediate,37k,37000.0,kotlin for java developers jetbrains course intermediate,2,0,0.4240337214070027,2
l excellence op rationnelle en pratique,essec business school,course,4.7,beginner,8k,8000.0,l excellence op rationnelle en pratique essec business school course beginner,1,0,0.2285977608246967,6
l impact investing la finance qui change le monde,essec business school,specialization,4.6,beginner,6.3k,6300.0,l impact investing la finance qui change le monde essec business school specialization beginner,1,2,0.1789713117138449,6
leadership development for engineers,rice university,specialization,4.7,beginner,17k,17000.0,leadership development for engineers rice university specialization beginner,1,2,0.3247863864842419,3
leadership in 21st century organizations,copenhagen business school,course,4.7,mixed,34k,34000.0,leadership in 21st century organizations copenhagen business school course mixed,3,0,0.4132427319007079,6
leading healthcare quality and safety,the george washington university,course,4.8,beginner,16k,16000.0,leading healthcare quality and safety the george washington university course beginner,1,0,0.3361930259514429,3
leading people and teams,university of michigan,specialization,4.7,beginner,220k,220000.0,leading people and teams university of michigan specialization beginner,1,2,0.6515419419928006,3
leading for equity diversity and inclusion in higher education,university of michigan,course,4.7,intermediate,5.9k,5900.0,leading for equity diversity and inclusion in higher education university of michigan course intermediate,2,0,0.1897442395071982,2
leading human resource management and leadership,macquarie university,specialization,4.8,intermediate,16k,16000.0,leading human resource management and leadership macquarie university specialization intermediate,2,2,0.3361930259514429,2
learn chinese hsk test preparation,peking university,specialization,4.8,beginner,43k,43000.0,learn chinese hsk test preparation peking university specialization beginner,1,2,0.4623555389135068,3
learn english,tsinghua university,specialization,4.3,beginner,22k,22000.0,learn english tsinghua university specialization beginner,1,2,0.2811165076917965,3
learn english advanced academic speaking and listening,university of california irvine,specialization,4.5,intermediate,78k,78000.0,learn english advanced academic speaking and listening university of california irvine specialization intermediate,2,2,0.4809241665037294,9
learn english advanced grammar and punctuation,university of california irvine,specialization,4.8,advanced,52k,52000.0,learn english advanced grammar and punctuation university of california irvine specialization advanced,0,2,0.4866085696009263,9
learn english intermediate grammar,university of california irvine,specialization,4.7,intermediate,120k,120000.0,learn english intermediate grammar university of california irvine specialization intermediate,2,2,0.5741868008268618,9
learn mandarin chinese,shanghai jiao tong university,specialization,4.8,beginner,39k,39000.0,learn mandarin chinese shanghai jiao tong university specialization beginner,1,2,0.4498951294702826,3
learn sql basics for data science,university of california davis,specialization,4.6,beginner,160k,160000.0,learn sql basics for data science university of california davis specialization beginner,1,2,0.5917576512670553,9
learn spanish basic spanish vocabulary,university of california davis,specialization,4.6,beginner,80k,80000.0,learn spanish basic spanish vocabulary university of california davis specialization beginner,1,2,0.5032983500823827,9
learn to program the fundamentals,university of toronto,course,4.8,beginner,180k,180000.0,learn to program the fundamentals university of toronto course beginner,1,0,0.645075428819577,3
learn to speak korean 1,yonsei university,course,4.9,beginner,120k,120000.0,learn to speak korean 1 yonsei university course beginner,1,0,0.6124730845869624,3
learning to teach online,unsw sydney the university of new south wales,course,4.7,beginner,68k,68000.0,learning to teach online unsw sydney the university of new south wales course beginner,1,0,0.5017009539715969,3
legal tech startups,ie business school,course,4.5,intermediate,7.2k,7200.0,legal tech startups ie business school course intermediate,2,0,0.1768670406786034,6
les fondamentaux de la n gociation,essec business school,course,4.7,beginner,10k,10000.0,les fondamentaux de la n gociation essec business school course beginner,1,0,0.257072361742785,6
liderazgo efectivo para el siglo xxi,universidad de los andes,specialization,4.8,intermediate,23k,23000.0,liderazgo efectivo para el siglo xxi universidad de los andes specialization intermediate,2,2,0.3825049408727006,2
linear circuits 1 dc analysis,georgia institute of technology,course,4.6,mixed,29k,29000.0,linear circuits 1 dc analysis georgia institute of technology course mixed,3,0,0.3738002503823359,7
love as a force for social justice,stanford university,course,4.7,beginner,14k,14000.0,love as a force for social justice stanford university course beginner,1,0,0.3000096208381451,3
machine learning,university of washington,specialization,4.6,intermediate,290k,290000.0,machine learning university of washington specialization intermediate,2,2,0.6676543773145673,2
machine learning foundations a case study approach,university of washington,course,4.6,mixed,240k,240000.0,machine learning foundations a case study approach university of washington course mixed,3,0,0.6435032260043001,2
machine learning and reinforcement learning in finance,new york university,specialization,3.7,intermediate,29k,29000.0,machine learning and reinforcement learning in finance new york university specialization intermediate,2,2,0.2015119734618817,2
machine learning for all,university of london,course,4.6,beginner,19k,19000.0,machine learning for all university of london course beginner,1,0,0.3198371751830762,2
machine learning for business professionals,google cloud,course,4.6,intermediate,58k,58000.0,machine learning for business professionals google cloud course intermediate,2,0,0.4622581488862116,8
machine learning for trading,google cloud,specialization,3.9,intermediate,15k,15000.0,machine learning for trading google cloud specialization intermediate,2,2,0.1556688136381554,8
machine learning with python,ibm,course,4.7,intermediate,120k,120000.0,machine learning with python ibm course intermediate,2,0,0.5741868008268618,5
machine learning with tensorflow on google cloud platform,google cloud,specialization,4.5,intermediate,72k,72000.0,machine learning with tensorflow on google cloud platform google cloud specialization intermediate,2,2,0.4707091767860203,8
magic in the middle ages,universitat de barcelona,course,4.6,beginner,78k,78000.0,magic in the middle ages universitat de barcelona course beginner,1,0,0.5000673083837799,3
making architecture,ie school of architecture design,course,4.7,beginner,43k,43000.0,making architecture ie school of architecture design course beginner,1,0,0.4432123970334558,3
management of fashion and luxury companies,universit bocconi,course,4.7,mixed,120k,120000.0,management of fashion and luxury companies universit bocconi course mixed,3,0,0.5741868008268618,7
managerial accounting fundamentals,university of virginia,course,4.9,beginner,11k,11000.0,managerial accounting fundamentals university of virginia course beginner,1,0,0.3075210607205858,3
managerial economics and business analysis,university of illinois at urbana champaign,specialization,4.7,beginner,55k,55000.0,managerial economics and business analysis university of illinois at urbana champaign specialization beginner,1,2,0.4746234846424366,1
managing innovation and design thinking,hec paris,specialization,4.7,beginner,23k,23000.0,managing innovation and design thinking hec paris specialization beginner,1,2,0.3633617989926501,3
managing project risks and changes,university of california irvine,course,4.7,mixed,71k,71000.0,managing project risks and changes university of california irvine course mixed,3,0,0.5072105480808045,9
managing social and human capital,university of pennsylvania,course,4.5,beginner,27k,27000.0,managing social and human capital university of pennsylvania course beginner,1,0,0.345537773895979,7
managing your health the role of physical therapy and exercise,university of toronto,course,4.6,beginner,47k,47000.0,managing your health the role of physical therapy and exercise university of toronto course beginner,1,0,0.4354205648672473,3
market research,university of california davis,specialization,4.5,beginner,22k,22000.0,market research university of california davis specialization beginner,1,2,0.3194027914518971,9
marketing digital,universidade de s o paulo,course,4.8,beginner,81k,81000.0,marketing digital universidade de s o paulo course beginner,1,0,0.5431699879004053,3
marketing gerencial,universidad de chile,course,4.7,intermediate,49k,49000.0,marketing gerencial universidad de chile course intermediate,2,0,0.4598819048509019,2
marketing mix implementation,ie business school,specialization,4.6,beginner,93k,93000.0,marketing mix implementation ie business school specialization beginner,1,2,0.5225143777124233,6
marketing strategy,ie business school,specialization,4.4,beginner,57k,57000.0,marketing strategy ie business school specialization beginner,1,2,0.421752353073102,6
marketing verde,universidad de los andes,course,4.8,mixed,58k,58000.0,marketing verde universidad de los andes course mixed,3,0,0.5005444326463127,7
marketing con redes sociales,tecnol gico de monterrey,specialization,4.4,intermediate,60k,60000.0,marketing con redes sociales tecnol gico de monterrey specialization intermediate,2,2,0.4282983398731925,2
marketing in a digital world,university of illinois at urbana champaign,course,4.7,beginner,310k,310000.0,marketing in a digital world university of illinois at urbana champaign course beginner,1,0,0.6953087070976474,1
mastering data analysis in excel,duke university,course,4.2,mixed,280k,280000.0,mastering data analysis in excel duke university course mixed,3,0,0.5866034380851399,7
mastering final cut pro,learnquest,course,4.6,beginner,8.4k,8400.0,mastering final cut pro learnquest course beginner,1,0,0.2156805062891518,3
mastering software development in r,johns hopkins university,specialization,4.3,beginner,52k,52000.0,mastering software development in r johns hopkins university specialization beginner,1,2,0.3908928602006742,4
materials science 10 things every engineer should know,university of california davis,course,4.7,mixed,48k,48000.0,materials science 10 things every engineer should know university of california davis course mixed,3,0,0.4572505061744731,9
mathematics for data science,national research university higher school of economics,specialization,4.5,beginner,12k,12000.0,mathematics for data science national research university higher school of economics specialization beginner,1,2,0.2420520006918671,6
mathematics for machine learning,imperial college london,specialization,4.6,beginner,150k,150000.0,mathematics for machine learning imperial college london specialization beginner,1,2,0.5835212373296716,2
mathematics for machine learning linear algebra,imperial college london,course,4.7,beginner,140k,140000.0,mathematics for machine learning linear algebra imperial college london course beginner,1,0,0.5938595044639361,2
mathematics for machine learning multivariate calculus,imperial college london,course,4.7,beginner,51k,51000.0,mathematics for machine learning multivariate calculus imperial college london course beginner,1,0,0.4649873213584601,2
mathematics for machine learning pca,imperial college london,course,4.0,intermediate,33k,33000.0,mathematics for machine learning pca imperial college london course intermediate,2,0,0.2754309890870221,2
medical cannabis the health effects of thc and cbd,university of colorado boulder,specialization,4.8,beginner,4.8k,4800.0,medical cannabis the health effects of thc and cbd university of colorado boulder specialization beginner,1,2,0.1825594867332403,3
medical neuroscience,duke university,course,4.9,advanced,170k,170000.0,medical neuroscience duke university course advanced,0,0,0.6569240015670692,3
memoir and personal essay write about yourself,wesleyan university,specialization,4.3,beginner,13k,13000.0,memoir and personal essay write about yourself wesleyan university specialization beginner,1,2,0.2139800249773786,3
methods and statistics in social sciences,university of amsterdam,specialization,4.6,beginner,260k,260000.0,methods and statistics in social sciences university of amsterdam specialization beginner,1,2,0.6537183111633671,3
microeconomics principles,university of illinois at urbana champaign,course,4.9,beginner,73k,73000.0,microeconomics principles university of illinois at urbana champaign course beginner,1,0,0.549042036842732,1
microeconomics the power of markets,university of pennsylvania,course,4.7,mixed,34k,34000.0,microeconomics the power of markets university of pennsylvania course mixed,3,0,0.4132427319007079,7
mindshift break through obstacles to learning and discover your hidden potential,mcmaster university,course,4.8,beginner,230k,230000.0,mindshift break through obstacles to learning and discover your hidden potential mcmaster university course beginner,1,0,0.6763580346361775,3
miracles of human language an introduction to linguistics,universiteit leiden,course,4.7,beginner,120k,120000.0,miracles of human language an introduction to linguistics universiteit leiden course beginner,1,0,0.5741868008268618,3
model thinking,university of michigan,course,4.8,mixed,130k,130000.0,model thinking university of michigan course mixed,3,0,0.603544986962322,7
modeling risk and realities,university of pennsylvania,course,4.6,mixed,36k,36000.0,modeling risk and realities university of pennsylvania course mixed,3,0,0.4013939923341745,7
modern art ideas,the museum of modern art,course,4.7,beginner,310k,310000.0,modern art ideas the museum of modern art course beginner,1,0,0.6953087070976474,3
modern big data analysis with sql,cloudera,specialization,4.8,beginner,14k,14000.0,modern big data analysis with sql cloudera specialization beginner,1,2,0.3191527627181956,3
modern robotics mechanics planning and control,northwestern university,specialization,4.7,intermediate,21k,21000.0,modern robotics mechanics planning and control northwestern university specialization intermediate,2,2,0.3517524230378841,2
modernizing data lakes and data warehouses with gcp,google cloud,course,4.7,intermediate,9.1k,9100.0,modernizing data lakes and data warehouses with gcp google cloud course intermediate,2,0,0.2450376056760377,8
moral foundations of politics,yale university,course,4.8,mixed,100k,100000.0,moral foundations of politics yale university course mixed,3,0,0.5700621058765498,7
more introduction to financial accounting,university of pennsylvania,course,4.9,mixed,40k,40000.0,more introduction to financial accounting university of pennsylvania course mixed,3,0,0.4722692721463404,7
mountains 101,university of alberta,course,4.9,mixed,44k,44000.0,mountains 101 university of alberta course mixed,3,0,0.4844325574030397,7
municipal solid waste management in developing countries,cole polytechnique f d rale de lausanne,course,4.8,intermediate,59k,59000.0,municipal solid waste management in developing countries cole polytechnique f d rale de lausanne course intermediate,2,0,0.5027260031070675,2
music business,berklee college of music,specialization,4.8,beginner,42k,42000.0,music business berklee college of music specialization beginner,1,2,0.4593526252406095,6
music business foundations,berklee college of music,course,4.9,mixed,34k,34000.0,music business foundations berklee college of music course mixed,3,0,0.4515290156608089,6
music production,berklee college of music,specialization,4.8,beginner,70k,70000.0,music production berklee college of music specialization beginner,1,2,0.5245434591042981,6
nanotechnology a maker s course,duke university,course,4.8,mixed,21k,21000.0,nanotechnology a maker s course duke university course mixed,3,0,0.3708955649179346,7
natural language processing in tensorflow,deeplearning ai,course,4.6,intermediate,40k,40000.0,natural language processing in tensorflow deeplearning ai course intermediate,2,0,0.4148398465061889,2
negociaci n exitosa estrategias y habilidades esenciales en espa ol,university of michigan,course,4.8,mixed,95k,95000.0,negociaci n exitosa estrategias y habilidades esenciales en espa ol university of michigan course mixed,3,0,0.5635160742984056,7
negotiation mediation and conflict resolution,essec business school,specialization,4.7,beginner,22k,22000.0,negotiation mediation and conflict resolution essec business school specialization beginner,1,2,0.3576890752119981,6
networking and security architecture with vmware nsx,vmware,course,4.8,intermediate,17k,17000.0,networking and security architecture with vmware nsx vmware course intermediate,2,0,0.3439295283642924,2
networking in google cloud,google cloud,specialization,4.7,intermediate,290k,290000.0,networking in google cloud google cloud specialization intermediate,2,2,0.6867975191946178,8
neural networks and deep learning,deeplearning ai,course,4.9,intermediate,630k,630000.0,neural networks and deep learning deeplearning ai course intermediate,2,0,0.8240968592556448,2
neurolinguistics,saint petersburg state university,course,4.7,mixed,41k,41000.0,neurolinguistics saint petersburg state university course mixed,3,0,0.4371342051452216,0
new approaches to countering terror countering violent extremism,university of maryland college park,course,4.7,beginner,12k,12000.0,new approaches to countering terror countering violent extremism university of maryland college park course beginner,1,0,0.2803382844519682,3
newborn baby care,university of colorado system,specialization,4.8,beginner,5.3k,5300.0,newborn baby care university of colorado system specialization beginner,1,2,0.195203053680014,3
nutrici n y obesidad control de sobrepeso,universidad nacional aut noma de m xico,course,4.8,beginner,100k,100000.0,nutrici n y obesidad control de sobrepeso universidad nacional aut noma de m xico course beginner,1,0,0.5700621058765498,3
nutrition and lifestyle in pregnancy,ludwig maximilians universit t m nchen lmu,course,4.8,intermediate,35k,35000.0,nutrition and lifestyle in pregnancy ludwig maximilians universit t m nchen lmu course intermediate,2,0,0.436085183413494,2
